"filename", "language", "TypeScript", "XML", "SCSS", "HTML", "JSON", "comment", "blank", "total"
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/find-friends-modal/find-friends-modal.page.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 7, 27
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/login/login-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/login/login.module.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 5, 21
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/login/login.page.html", "HTML", 0, 0, 0, 25, 0, 0, 4, 29
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/login/login.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/login/login.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 6, 25
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/login/login.page.ts", "TypeScript", 31, 0, 0, 0, 0, 4, 6, 41
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/movie-page/movie-page-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/movie-page/movie-page.module.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 5, 21
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/movie-page/movie-page.page.html", "HTML", 0, 0, 0, 132, 0, 7, 11, 150
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/movie-page/movie-page.page.scss", "SCSS", 0, 0, 171, 0, 0, 39, 46, 256
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/movie-page/movie-page.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 6, 25
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/movie-page/movie-page.page.ts", "TypeScript", 294, 0, 0, 0, 0, 19, 42, 355
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/profile-page/profile-page-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/profile-page/profile-page.module.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 2, 20
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/profile-page/profile-page.page.html", "HTML", 0, 0, 0, 37, 0, 0, 2, 39
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/profile-page/profile-page.page.scss", "SCSS", 0, 0, 40, 0, 0, 5, 10, 55
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/profile-page/profile-page.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 6, 25
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/profile-page/profile-page.page.ts", "TypeScript", 64, 0, 0, 0, 0, 6, 13, 83
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/rate-back-modal/rate-back-modal-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/rate-back-modal/rate-back-modal.module.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/rate-back-modal/rate-back-modal.page.html", "HTML", 0, 0, 0, 30, 0, 2, 2, 34
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/rate-back-modal/rate-back-modal.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/rate-back-modal/rate-back-modal.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 6, 25
"/Users/johncummins/Ionic/FlickMate1.0/src/app/pages/rate-back-modal/rate-back-modal.page.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 13, 48
